Year of Case,Employer Name,Address,Street,City,State,Zip Code,Wages Owed,Number of Claimants on Case,USDOL?
2023,Chipotle Columbia Presbyterian - 1968,"4009 Broadway, New York, NY, 10032",4009 Broadway,New York,NY,10032,"$3,169.00",129,NO
2022,Common Threads Project,"25 Plaza Street West, Brooklyn, NY, 11217",25 Plaza Street West,Brooklyn,NY,11217,"$3,166.00",1,NO
2022,Acacia Network/ United Bronx Parents,"300 East 175th Street, Bronx, NY, 10457",300 East 175th Street,Bronx,NY,10457,"$3,148.00",1,NO
2023,Andre's Hungarian Strudels and Pastries Inc.,"1049 First Avenue, New York, NY, 10022",1049 First Avenue,New York,NY,10022,"$3,146.00",,NO
2020,Pizzadilla and Wings,"1845 Nostrand Ave., Brooklyn, NY, 11225",1845 Nostrand Ave.,Brooklyn,NY,11225,"$3,135.00",1,NO
2020,Piccinini Brothers Inc,"633 9th Ave, New York, NY, 10036",633 9th Ave,New York,NY,10036,"$3,125.00",1,NO
2020,Happiness Pediatrics,"762 59th Street, Brooklyn, NY, 11220",762 59th Street,Brooklyn,NY,11220,"$3,104.00",1,NO
2020,AIR,"842 Astoria Blvd 1L, Astoria, NY, 11102",842 Astoria Blvd 1L,Astoria,NY,11102,"$3,093.00",1,YES
2021,Fruits A Plenty Inc. / New York Fruit King Inc.,"1507 Kings Highway, Brooklyn, NY, 11229",1507 Kings Highway,Brooklyn,NY,11229,"$3,087.00",1,NO
2022,B Hospitality Corp,"1250 Broadway, New York, NY, 10001",1250 Broadway,New York,NY,10001,"$3,082.00",1,NO
2022,EJ Electric,"4641 Vernon Boulevard, Long Island City, NY, 11101",4641 Vernon Boulevard,Long Island City,NY,11101,"$3,080.00",1,NO
2020,GSI Flushing Inc,"151-11 11th Ave, Whitestone, NY, 11357",151-11 11th Ave,Whitestone,NY,11357,"$3,080.00",3,NO
2022,Western Beef Retail Inc,"47-05 Metropolitan Avenue, Ridgewood, NY, 11385",47-05 Metropolitan Avenue,Ridgewood,NY,11385,"$3,065.00",,NO
2021,"Alpha Kappa Alpha Sorority, EPOC DCC Inc.","144-06 Rockaway Blvd., Jamaica, NY, 11436",144-06 Rockaway Blvd.,Jamaica,NY,11436,"$3,058.00",1,NO
2022,Sweetwater Labs LLC,"777 6th Avenue, New York, NY, 10001",777 6th Avenue,New York,NY,10001,"$3,050.00",1,NO
2022,Richmond Center and Rehabilitation,"91 Tompkins Ave, Staten Island, NY, 10304",91 Tompkins Ave,Staten Island,NY,10304,"$3,047.00",,NO
2022,Buon Gelato,"74-02 Eliot Avenue, Flushing, NY, 11379",74-02 Eliot Avenue,Flushing,NY,11379,"$3,040.00",,YES
2022,Pay Less 4 Braces,"34-49 Junction Blvd., Jackson Heights, NY, 11372",34-49 Junction Blvd.,Jackson Heights,NY,11372,"$3,027.00",1,NO
2022,916 Linden Corp,"916 Linden Blvd, Brooklyn, NY, 11203",916 Linden Blvd,Brooklyn,NY,11203,"$3,000.00",1,NO
2020,Cimagine Media Group LLC,"150 East 52nd St. #8002, New York, NY, 10022",150 East 52nd St. #8002,New York,NY,10022,"$3,000.00",1,NO
2021,Cross Bay Diner,"160-31 Cross Bay Blvd, Howard Beach, NY, 11414",160-31 Cross Bay Blvd,Howard Beach,NY,11414,"$3,000.00",1,NO
2022,Earl Scheib Paint & Body,"787 Bruckner Boulevard, Bronx, NY, 10455",787 Bruckner Boulevard,Bronx,NY,10455,"$3,000.00",1,NO
2023,Fresh Meadows Pizzeria & Restaurant,"195-09 69th Avenue, Fresh Meadows, NY, 11365",195-09 69th Avenue,Fresh Meadows,NY,11365,"$3,000.00",,NO
2024,I&S Brothers Construction Corp,"112 Memphis Ave, Staten Island, NY, 10312",112 Memphis Ave,Staten Island,NY,10312,"$3,000.00",,NO
2022,Made 21 Restaurant & Lounge,"231 S 4th Street, Brooklyn, NY, 11211",231 S 4th Street,Brooklyn,NY,11211,"$3,000.00",1,NO
2022,Marcus Patrick,"257E 92nd St, Brooklyn, NY, 11212",257E 92nd St,Brooklyn,NY,11212,"$3,000.00",3,NO
2023,Mr. G,"1954 Nostrand Avenue, Brooklyn, NY, 11210",1954 Nostrand Avenue,Brooklyn,NY,11210,"$3,000.00",,NO
2021,MTA Trading Inc,"154 Walworth Street, Brooklyn, NY, 11205",154 Walworth Street,Brooklyn,NY,11205,"$3,000.00",1,NO
2021,NY Medical Health Care Diagnostic PC,"2327 83rd Street, Brooklyn, NY, 11214",2327 83rd Street,Brooklyn,NY,11214,"$3,000.00",1,NO
2023,Venture Advisory Group Inc,"8 West 36th Street, New York, NY, 10018",8 West 36th Street,New York,NY,10018,"$3,000.00",,NO
2023,Whos Who of Professionals NY Inc,"3001 Northern Blvd, Long Island City, NY, 11101",3001 Northern Blvd,Long Island City,NY,11101,"$3,000.00",,YES
2021,Young Men's & Women's Hebrew Association of Willi..,"64 Division Avenue, Brooklyn, NY, 11249",64 Division Avenue,Brooklyn,NY,11249,"$3,000.00",1,NO
2023,FAB LLC Homecare Service,"215 West 125th Street, New York, NY, 10027",215 West 125th Street,New York,NY,10027,"$2,996.00",1,NO
2020,OLI Vine Restaurant,"36-03 Ditmars Blvd, Astoria, NY, 11105",36-03 Ditmars Blvd,Astoria,NY,11105,"$2,995.00",1,NO
2023,Home At Last Home Care Agency,"51-27 Queens Blvd., Woodside, NY, 11377",51-27 Queens Blvd.,Woodside,NY,11377,"$2,993.00",3,NO
2023,Chipotle 125th Street - 3216,"72 W 125th Street, New York, NY, 10027",72 W 125th Street,New York,NY,10027,"$2,984.00",79,NO
2020,Bionova Inc,"43-15 11th St, Long Island City, NY, 11101",43-15 11th St,Long Island City,NY,11101,"$2,977.00",1,NO
2022,Services for the Underserved,"463 7th Avenue, New York, NY, 10018",463 7th Avenue,New York,NY,10018,"$2,971.00",2,NO
2021,Arrow Inc,"750 Manhattan Avenue, Brooklyn, NY, 11222",750 Manhattan Avenue,Brooklyn,NY,11222,"$2,967.00",1,NO
2023,City MD / Summit Health,"1345 Sixth Avenue, New York, NY, 10105",1345 Sixth Avenue,New York,NY,10105,"$2,964.00",,NO
2021,"JS Management Solutions, Inc.","4545 Center Blvd., Long Island City, NY, 11109",4545 Center Blvd.,Long Island City,NY,11109,"$2,943.00",1,NO
2020,"Freedman & Co., CPA P.C.","61 Broadway #1602, New York, NY, 10006",61 Broadway #1602,New York,NY,10006,"$2,941.00",2,NO
2020,"Linden Towers Cooperative # 1, Inc.","3150 140 street, Flushing, NY, 11354",3150 140 street,Flushing,NY,11354,"$2,937.00",,NO
2023,Chipotle 56th & 6th - 1531,"1379 Sixth Avenue, New York, NY, 10019",1379 Sixth Avenue,New York,NY,10019,"$2,930.00",101,NO
2023,TRH Hospitality,"525 Fashion Avenue, New York, NY, 10018",525 Fashion Avenue,New York,NY,10018,"$2,928.00",1,NO
2023,Midtown Center Auto Repair,"537 West 38th Street, New York, NY, 10018",537 West 38th Street,New York,NY,10018,"$2,923.00",,NO
2023,Crunch Sushi on Plate Inc.,"5006 12th Ave, Brooklyn, NY, 11219",5006 12th Ave,Brooklyn,NY,11219,"$2,922.00",1,NO
2023,Galaxy Active LLC,"1411 Broadway, New York, NY, 10018",1411 Broadway,New York,NY,10018,"$2,917.00",1,NO
2020,Scholl Maintenance Corp,"72-24 243rd Street, Douglaston, NY, 11362",72-24 243rd Street,Douglaston,NY,11362,"$2,915.00",,NO
2021,North Coast Shark and Bake,"873 Schenectady Ave, Brooklyn, NY, 11203",873 Schenectady Ave,Brooklyn,NY,11203,"$2,910.00",1,NO
2022,Xu Li Chen,"5417 152nd Street, Flushing, NY, 11355",5417 152nd Street,Flushing,NY,11355,"$2,903.00",3,NO
2021,Goodwill NYNJ Store and Donation Center,"7 West 14th Street, New York, NY, 10011",7 West 14th Street,New York,NY,10011,"$2,896.00",1,NO
2023,Chipotle Fulton Street Mall - 3309,"474 Fulton Street, Brooklyn, ny, 11201",474 Fulton Street,Brooklyn,ny,11201,"$2,895.00",111,NO
2023,Chipotle - Kips Bay - 1829,"604 2nd Avenue, NEw York, NY, 10016",604 2nd Avenue,NEw York,NY,10016,"$2,881.00",94,NO
2020,Happy World Laundromat,"1148 W. Farms Rd., Bronx, NY, 10459",1148 W. Farms Rd.,Bronx,NY,10459,"$2,881.00",6,NO
2021,Romero Electric LLC,"700 W. 192nd Street, New York, NY, 10040",700 W. 192nd Street,New York,NY,10040,"$2,880.00",1,NO
2021,Trifecta Welding Inc.,"324 Poultney St, Staten Island, NY, 10308",324 Poultney St,Staten Island,NY,10308,"$2,880.00",1,NO
2022,Zappi & Buccheri Zappi Dermatology,"21 East 87th Street, New York, NY, 10128",21 East 87th Street,New York,NY,10128,"$2,880.00",1,NO
2020,Andrews Classic Brooklyn Bagels,"1017 Cortelyou RD, Brooklyn, NY, 11218",1017 Cortelyou RD,Brooklyn,NY,11218,"$2,870.00",1,YES
2023,L. Bacuku Construction Corp,"28-28 120th Street, Flushing, NY, 11354",28-28 120th Street,Flushing,NY,11354,"$2,870.00",2,NO
2023,Chipotle -69th and 1st - 1766,"1st Avenue, New York, NY, 10021",1st Avenue,New York,NY,10021,"$2,856.00",83,NO
2022,Lee Muma Organic Food,"3415 Neptune Avenue, Brooklyn, NY, 11226",3415 Neptune Avenue,Brooklyn,NY,11226,"$2,856.00",1,NO
2023,Chipotle - Tribeca - 1879,"275 Greenwich Street, New York, NY, 10007",275 Greenwich Street,New York,NY,10007,"$2,851.00",96,NO
2022,Omi,"251 Wallaboud, Brooklyn, NY, 11206",251 Wallaboud,Brooklyn,NY,11206,"$2,850.00",1,NO
2023,Basil Pizza & Wine Bar,"1277 President St., Brooklyn, NY, 11213",1277 President St.,Brooklyn,NY,11213,"$2,840.00",1,NO
2023,Chipotle Steinway Street - 3312,"31-73 Steinway Street, Astoria, ny, 11103",31-73 Steinway Street,Astoria,ny,11103,"$2,833.00",91,NO
2023,IRaise Girls & Boys International,"3650 White Plains Road, Bronx, NY, 10467",3650 White Plains Road,Bronx,NY,10467,"$2,827.00",,NO
2023,Attentive Home Care Agency Inc,"3131 Coney Island Ave, Brooklyn, NY, 11235",3131 Coney Island Ave,Brooklyn,NY,11235,"$2,820.00",1,NO
2022,Majestic Touch,"5019 Avenue North, Brooklyn, NY, 11234",5019 Avenue North,Brooklyn,NY,11234,"$2,820.00",1,NO
2020,Hometown Dumplings,"11619 85th St, New York, NY, 10028",11619 85th St,New York,NY,10028,"$2,810.00",1,NO
2020,WW & J Construction Inc,"3446 107th St., Corona, NY, 11368",3446 107th St.,Corona,NY,11368,"$2,809.00",1,NO
2023,Chipotle Nostrand Avenue - 2766,"2166 Nostrand Avenue, Brooklyn, NY, 11210",2166 Nostrand Avenue,Brooklyn,NY,11210,"$2,808.00",176,NO
2022,Drammeh Logistics LLC,"109 Bruckner Blvd, Bronx, NY, 10454",109 Bruckner Blvd,Bronx,NY,10454,"$2,800.00",,NO
2020,NY Medical Health Care / Blue Medical,"127 Lenox St, New York, NY, 10027",127 Lenox St,New York,NY,10027,"$2,800.00",1,NO
2020,Parrilla Latina,"2501 Webster Avenue, Bronx, NY, 10458",2501 Webster Avenue,Bronx,NY,10458,"$2,800.00",1,NO
2020,AA Contracting II Corp.,"64-14 Asquith Cres, Rego Park, NY, 11374",64-14 Asquith Cres,Rego Park,NY,11374,"$2,790.00",2,NO
2020,O'Malley Daycare,"372 Bainbridge St, Brooklyn, NY, 11233",372 Bainbridge St,Brooklyn,NY,11233,"$2,788.00",1,NO
2020,Cotter Barber,"503-34 Manhattan Avenue, Brooklyn, NY, 11211",503-34 Manhattan Avenue,Brooklyn,NY,11211,"$2,778.00",,NO
2022,Pinnacle Security,"224-17 Merrick Blvd., Laurelton, NY, 11413",224-17 Merrick Blvd.,Laurelton,NY,11413,"$2,775.00",1,NO
2022,The Council Cafe,"279 Nostrand Avenue, Brooklyn, NY, 11216",279 Nostrand Avenue,Brooklyn,NY,11216,"$2,775.00",,NO
2021,Advanced Medical Group PC,"1958 Ocean Ave, Brooklyn, NY, 11230",1958 Ocean Ave,Brooklyn,NY,11230,"$2,772.00",1,NO
2021,Lisa Marie Fernandez LLC,"455 Hudson Street, New York, NY, 10014",455 Hudson Street,New York,NY,10014,"$2,770.00",1,NO
2023,BlueRidge Home Care Agency,"1059 Fulton Street, Brooklyn, NY, 11238",1059 Fulton Street,Brooklyn,NY,11238,"$2,769.00",,NO
2020,310 E. 55th Street Tenants Corporation,"P.O. Box 040313, New York, NY, 11204",P.O. Box 040313,New York,NY,11204,"$2,760.00",1,NO
2022,Macy's Retail Holdings LLC T/A Macy's,"151 West 34th Street, New York, NY, 10001",151 West 34th Street,New York,NY,10001,"$2,758.00",1,NO
2020,Gamo Hidalgo Corp,"1717 Troutman Street, Ridgewood, NY, 11385",1717 Troutman Street,Ridgewood,NY,11385,"$2,750.00",1,NO
2021,Murray Hill Management Inc,"38-15 149 Street, Flushing, NY, 11354",38-15 149 Street,Flushing,NY,11354,"$2,750.00",1,NO
2020,Antony Chen MD,"134-42 Maple Ave., Flushing, NY, 11355",134-42 Maple Ave.,Flushing,NY,11355,"$2,742.00",1,NO
2024,Harlem Seafood Soul,"445 Albee Square, Brooklyn, NY, 11201",445 Albee Square,Brooklyn,NY,11201,"$2,741.00",,NO
2023,Blue Skin Laser Spa Inc,"314 West 231st Street, Bronx, NY, 10463",314 West 231st Street,Bronx,NY,10463,"$2,712.00",,NO
2023,Kleenslate Creative LLC,"2693 Bedford Avenue, Brooklyn, NY, 11210",2693 Bedford Avenue,Brooklyn,NY,11210,"$2,710.00",,NO
2021,Life Coach and Counselor,"40 Copley St, Staten Island, NY, 10314",40 Copley St,Staten Island,NY,10314,"$2,710.00",1,NO
2023,Mr. Maid NY,"545 Neptune Avenue, Brooklyn, NY, 11224",545 Neptune Avenue,Brooklyn,NY,11224,"$2,705.00",,NO
2020,Tanjina Sharmin,"3724 74th Street, Jackson Heights, NY, 11372",3724 74th Street,Jackson Heights,NY,11372,"$2,705.00",,NO
2020,GP Power,"3915 5th Ave, Brooklyn, NY, 11232",3915 5th Ave,Brooklyn,NY,11232,"$2,704.00",1,NO
2020,Active Contractors USA Inc T/A Cristian Macias,"55-35 Metropolitan Avenue, Brooklyn, NY, 11385",55-35 Metropolitan Avenue,Brooklyn,NY,11385,"$2,700.00",7,NO
2020,Active Contractors USA Inc T/A Cristian Macias,"55-35 Metropolitan Avenue, Brooklyn, NY, 11385",55-35 Metropolitan Avenue,Brooklyn,NY,11385,"$2,700.00",7,NO
2024,GY Restoration Inc.,"1240 Walton Avenue, Bronx, NY, 10452",1240 Walton Avenue,Bronx,NY,10452,"$2,700.00",,NO
2024,Preserve,"1052 Walton Avenue, Bronx, NY, 10452",1052 Walton Avenue,Bronx,NY,10452,"$2,700.00",,NO
2020,LEG Promo,"644 E. 34th Street, Brooklyn, NY, 11203",644 E. 34th Street,Brooklyn,NY,11203,"$2,700.00",1,NO
2020,Mara Contractors & Environmental Services Inc.,"3122 Fulton Street, Brooklyn, NY, 11208",3122 Fulton Street,Brooklyn,NY,11208,"$2,700.00",1,NO
2021,Silvercup Scaffolding,"29 Lorimer St, Brooklyn, NY, 11206",29 Lorimer St,Brooklyn,NY,11206,"$2,700.00",1,NO
2021,Minko Law Office PC,"1766 Cropsey Ave., Brooklyn, NY, 11214",1766 Cropsey Ave.,Brooklyn,NY,10121,"$2,694.00",1,NO
2021,Promesa Housing - Acacia Network,"300 E. 175th Street, Bronx, NY, 10457",300 E. 175th Street,Bronx,NY,10457,"$2,677.00",1,NO
2022,La Nicosia Bakery Corp,"765 E. 182nd St., Bronx, NY, 10460",765 E. 182nd St.,Bronx,NY,10460,"$2,673.00",,NO
2022,"African American Planning Commission, Inc.","630 Flushing Avenue, Brooklyn, NY, 11206",630 Flushing Avenue,Brooklyn,NY,11206,"$2,670.00",1,NO
2023,Healthy & Long Life Care,"136-08 38th Ave, Flushing, NY, 11354",136-08 38th Ave,Flushing,NY,11354,"$2,670.00",3,NO
2022,Rainbow Tots LLC,"704 Avenue X, Brooklyn, NY, 11235",704 Avenue X,Brooklyn,NY,11235,"$2,670.00",1,NO
2023,Goldstar Camp Avant Gardner / Brooklyn Mirage,"140 Stewart Avenue, Brooklyn, NY, 11237",140 Stewart Avenue,Brooklyn,NY,11237,"$2,664.00",,NO
2023,Chipotle Howard Beach - 3044,"160-10 Cross Bay Boulevard, Howard Beach, NY, 11693",160-10 Cross Bay Boulevard,Howard Beach,NY,11693,"$2,656.00",101,NO
2022,Lenotto Corp,"702 Banner Avenue, Brooklyn, NY, 11235",702 Banner Avenue,Brooklyn,NY,11235,"$2,655.00",,YES
2022,Crestview Clinical Laboratory,"116 Hendricks Ave, Staten Island, NY, 10301",116 Hendricks Ave,Staten Island,NY,10301,"$2,648.00",1,NO
2021,Concept of Independence Inc.,"120 Wall Street, New York, NY, 10025",120 Wall Street,New York,NY,10025,"$2,641.00",1,NO
2022,KA Investigations Security LLC,"534 Van Duzer St., Staten Island, NY, 10304",534 Van Duzer St.,Staten Island,NY,10304,"$2,640.00",1,NO
2021,Figmire LLC,"840 Grand Concourse, Bronx, NY, 10451",840 Grand Concourse,Bronx,NY,10451,"$2,633.00",2,NO
2021,Fuji Hana Restaurant Inc.,"512 Ave U, Brooklyn, NY, 11223",512 Ave U,Brooklyn,NY,11223,"$2,612.00",2,NO
2023,W Painting and Renovations LLC T/A William Wong,"31-33 105th Street, Queens, NY, 11369 Lexington Avenue, New York, NY, 10017",31-33 105th Street,Queens,NY,11369,"$2,610.00",,NO
2020,Mbros Construction Inc.,"5714 59 Street, Maspeth, NY, 11378",5714 59 Street,Maspeth,NY,11378,"$2,600.00",1,NO
2020,Red Bank Construction Associates LLC,"122 East 57th Street, New York, NY, 11002",122 East 57th Street,New York,NY,11002,"$2,600.00",1,NO
2023,Chipotle - E 52nd St 491,"150 E 52nd St, New York, NY, 10022",150 E 52nd St,New York,NY,10022,"$2,594.00",57,NO
2021,Arvut Home Care,"433 Kings Highway 1st Floor, Brooklyn, NY, 11223",433 Kings Highway 1st Floor,Brooklyn,NY,11223,"$2,590.00",1,NO
2020,Parker Jewish Institute for Healthcare,"271-11 76th Avenue, New Hyde Park, NY, 11040",271-11 76th Avenue,New Hyde Park,NY,11040,"$2,589.00",1,NO
2022,City & Central Construction Corp.,"79-25 150th Street, Flushing, NY, 11367",79-25 150th Street,Flushing,NY,11367,"$2,588.00",1,NO
2022,E J Electric Corp,"4641 Vernon Boulevard, Long Island City, NY, 11101",4641 Vernon Boulevard,Long Island City,NY,11101,"$2,585.00",1,NO
2022,St Johns Residence for Boys,"150 Beach 110th Street, Rockaway Park, NY, 11694",150 Beach 110th Street,Rockaway Park,NY,11694,"$2,585.00",,NO
2021,Excell Home Fashions,"1333 Broadway, New York, NY, 10018",1333 Broadway,New York,NY,10018,"$2,576.00",1,NO
2023,Jumieka NYC,"601 Lexington Avenue, New York, NY, 10022",601 Lexington Avenue,New York,NY,10022,"$2,562.00",,NO
2020,Standard D and C Inc,"247 W. 30th Street, New York, NY, 10001",247 W. 30th Street,New York,NY,10001,"$2,560.00",1,NO
2024,Supreme Cleaning,"3516 87th Street, Jackson Heights, NY, 11372",3516 87th Street,Jackson Heights,NY,11372,"$2,552.00",,NO
2023,RQM Tutorial,"172-13 Hillside Avenue, Queens, NY, 11432",172-13 Hillside Avenue,Queens,NY,11432,"$2,552.00",,NO
2024,Mobile Properties LLC,"PO Box 297094, Brooklyn, NY, 11229",PO Box 297094,Brooklyn,NY,11229,"$2,550.00",,NO
2021,White Glove Community Care Inc,"630 Flushing Ave, Brooklyn, NY, 11206",630 Flushing Ave,Brooklyn,NY,11206,"$2,548.00",3,NO
2023,Chipotle 13th & 6th - 2168,"504 6th Avenue, New york, NY, 10011",504 6th Avenue,New york,NY,10011,"$2,547.00",43,NO
2021,Star One Homecare & Medical Staffing / Phoenix Ho..,"540 E 180th Street, Bronx, NY, 10457",540 E 180th Street,Bronx,NY,10457,"$2,545.00",1,NO
2020,M Degree LLC T/A Marble Dessert Bar,"27 Bedford Street, New York, NY, 10014",27 Bedford Street,New York,NY,10014,"$2,531.00",5,NO
2020,Designs by Robert Scott,"810 Humboldt St, Brooklyn, NY, 11222",810 Humboldt St,Brooklyn,NY,11222,"$2,520.00",1,NO
2023,8-Bit Bites,"113 Court Street, Brooklyn, NY, 11201",113 Court Street,Brooklyn,NY,11201,"$2,519.00",,NO
2020,Sonya R Nair and Vivek Lakhiani,"135 East 29th St, New York, NY, 10016",135 East 29th St,New York,NY,10016,"$2,518.00",2,NO
2022,San Marzano Pasta Fresco,"117 Second Ave, New York, NY, 10003",117 Second Ave,New York,NY,10003,"$2,516.00",1,NO
2023,Bronx Jewish Community Council,"2930 Wallace Avenue, Bronx, NY, 10467",2930 Wallace Avenue,Bronx,NY,10467,"$2,507.00",1,NO
2020,Oli 99 Cent Fresh Pizza,"2 E Burnside Ave, Bronx, NY, 10453",2 E Burnside Ave,Bronx,NY,10453,"$2,506.00",1,NO
2020,Pearl Dental NYC,"67 Wall Street, New York, NY, 10005",67 Wall Street,New York,NY,10005,"$2,506.00",1,NO
2022,Alba Services,"240 West 52nd St, New York, NY, 10019",240 West 52nd St,New York,NY,10019,"$2,500.00",1,NO
2022,Health Family Liason,"224 Osgood Avenue, Staten Island, NY, 10304",224 Osgood Avenue,Staten Island,NY,10304,"$2,500.00",1,NO
2024,"Abitino Foods, Inc. T/A Abitino's Pizza","5 W 51st Street, New York, NY, 10112",5 W 51st Street,New York,NY,10112,"$2,500.00",,NO
2021,Lambert and Co.,"20 Warren Street, New York, NY, 10007",20 Warren Street,New York,NY,10007,"$2,500.00",1,NO
2023,Pearl Shine Cleaners,"420 West 26th Street, New York, NY, 10001",420 West 26th Street,New York,NY,10001,"$2,500.00",1,NO
2020,Rifky Goldberger,"1638 58th St, Brooklyn, NY, 11204",1638 58th St,Brooklyn,NY,11204,"$2,500.00",1,NO
2022,"Tri-State Holding, LLC","36-51 Bell Blvd., Bayside, NY, 11361",36-51 Bell Blvd.,Bayside,NY,11361,"$2,500.00",1,NO
2023,Chipotle,"885 10th Avenue, New York, NY, 10019",885 10th Avenue,New York,NY,10019,"$2,498.00",70,NO
2023,Juicebar Nutrition,"133-40 79th Street, Howard Beach, NY, 11414",133-40 79th Street,Howard Beach,NY,11414,"$2,498.00",,NO
2023,Chipotle Queens Center - 1961,"90-15 Queens Blvd., Elmhurst, ny, 11373",90-15 Queens Blvd.,Elmhurst,ny,11373,"$2,495.00",53,NO
2023,Chipotle Long Island City - 2760,"26-16 Jackson Avenue, Long Island City, NY, 11101",26-16 Jackson Avenue,Long Island City,NY,11101,"$2,486.00",86,NO
2023,Aasha Home Care,"37-47 73rd St, Jackson Heights, NY, 11372",37-47 73rd St,Jackson Heights,NY,11372,"$2,484.00",1,NO
2021,Barbie Beauty Supply Store,"1076 Rutland Rd, Brooklyn, NY, 11212",1076 Rutland Rd,Brooklyn,NY,11212,"$2,477.00",1,NO
2020,Home Family Care,"37-03 92nd Street, Jackson Heights, NY, 11372",37-03 92nd Street,Jackson Heights,NY,11372,"$2,475.00",,NO
2020,Miracle Curtains I Inc,"13306 King Road, Flushing, NY, 11354",13306 King Road,Flushing,NY,11354,"$2,475.00",,NO
2020,Papa Johns,"49-19 30th Avenue, Woodside, NY, 11377",49-19 30th Avenue,Woodside,NY,11377,"$2,475.00",,NO
2023,AR Freight Trucking Inc,"6565 Booth Street, Rego Park, NY, 11374",6565 Booth Street,Rego Park,NY,11374,"$2,471.00",1,NO
2023,The Royal Care Fl LLC,"6323 14th Avenue, Brooklyn, NY, 11219",6323 14th Avenue,Brooklyn,NY,11219,"$2,464.00",1,NO
2020,Beauty Strike LLC,"73 Washington Avenue, Brooklyn, NY, 11205",73 Washington Avenue,Brooklyn,NY,11205,"$2,456.00",4,NO
2021,Riconda Maintenancec Inc.,"42-22 Crescent St, Long Island City, NY, 11101",42-22 Crescent St,Long Island City,NY,11101,"$2,450.00",1,NO
2021,645 Owner's Corp,"645 E 26th St, Brooklyn, NY, 11210",645 E 26th St,Brooklyn,NY,11210,"$2,436.00",1,NO
2022,Allstate Fire Sprinkler Corp.,"1869 White Plains Rd, Bronx, NY, 10462",1869 White Plains Rd,Bronx,NY,10462,"$2,432.00",,NO
2023,Misiu Designs LLC,"1549 Kimball Street, Brooklyn, NY, 11234",1549 Kimball Street,Brooklyn,NY,11234,"$2,432.00",,NO
2023,"Live Juice Enterprises, Inc. T/A Juicy Lucy Juice Bar","85 Avenue A, New York, NY, 10009",85 Avenue A,New York,NY,10009,"$2,429.00",,NO
2023,"Amethyst House, Inc.","220 Heberton Avenue, Staten Island, NY, 10302",220 Heberton Avenue,Staten Island,NY,10302,"$2,425.00",1,NO
2024,Famous NY Contracting,"1606 E 55th St, Brooklyn, NY, 11234",1606 E 55th St,Brooklyn,NY,11234,"$2,420.00",,NO
2021,Heavenly Market,"1692 York Avenue, New York, NY, 10128",1692 York Avenue,New York,NY,10128,"$2,419.00",,NO
2021,Sandra Gelbard,"440 East 79th St, New York, NY, 10075",440 East 79th St,New York,NY,10075,"$2,418.00",2,NO
2023,Airtek Environmental Corp,"39-37 29th Street, Logn Island City, NY, 11101",39-37 29th Street,Long Island City,NY,11101,"$2,416.00",1,NO
2021,1199 SEIU National Benefit Fund,"498 7th Ave, New York, NY, 10018",498 7th Ave,New York,NY,10018,"$2,407.00",1,NO
2020,Franclin Sandoval,"8621 77th St, Woodhaven, NY, 11421",8621 77th St,Woodhaven,NY,11421,"$2,400.00",2,NO
2022,Hache,"300 East 52nd Street, New York, NY, 10022",300 East 52nd Street,New York,NY,10022,"$2,400.00",1,NO
2023,Ironworks,"1203 Broadway, Brooklyn, NY, 11221",1203 Broadway,Brooklyn,NY,11221,"$2,400.00",,NO
2021,Northern Spy Records,"122 Washington Avenue, Brooklyn, NY, 11205",122 Washington Avenue,Brooklyn,NY,11205,"$2,400.00",1,NO
2021,Parkash 2255 LLC,"172-14 89th Ave, Jamaica, NY, 11432",172-14 89th Ave,Jamaica,NY,11432,"$2,400.00",1,NO
2021,The Chefs Table,"268 Beach 116th St, Queens, NY, 11694",268 Beach 116th St,Queens,NY,11694,"$2,400.00",1,NO
2023,The Common,"9406 3rd Avenue, Brooklyn, NY, 11209",9406 3rd Avenue,Brooklyn,NY,11209,"$2,394.00",1,NO
2021,"Firequench, Inc. / Firetronics Inc","39 W. 37th Street, New York, NY, 10018",39 W. 37th Street,New York,NY,10018,"$2,392.00",1,NO
2023,Lincoln Deli Grocery,"522 Morris Ave., Bronx, NY, 10451",522 Morris Ave.,Bronx,NY,10451,"$2,386.00",,NO
2022,Majestic Medical Imaging PC,"409 Rockaway Ave., Brooklyn, NY, 11212",409 Rockaway Ave.,Brooklyn,NY,11212,"$2,386.00",1,NO
2021,All Care Home Health Services LLC,"6812 New Utrecht, Brooklyn, NY, 11219",6812 New Utrecht,Brooklyn,NY,11219,"$2,380.00",1,NO
2020,Pita Hot - Tel Aviv Kebab House,"75-43 Main Street, Flushing, NY, 11367",75-43 Main Street,Flushing,NY,11367,"$2,380.00",1,NO
2022,LLABB Co.,"330 West 38th Street, New York, NY, 10018",330 West 38th Street,New York,NY,10018,"$2,369.00",1,NO
2020,Burke & Willis/Manhattan Cricket Club,"226 W 79th St, New York, NY, 10024",226 W 79th St,New York,NY,10024,"$2,365.00",1,NO
2022,Leap Rides,"3100 47th Avenue, New York, NY, 11101",3100 47th Avenue,New York,NY,11101,"$2,358.00",1,NO
2022,Leap Rides,"3100 47th Avenue, New York, NY, 11101",3100 47th Avenue,New York,NY,11101,"$2,358.00",1,NO
